timestamp	sharpe	trades	max_dd_pct	pf	cagr_pct	params_changed	status	description
2026-04-18T16:10:35	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=3.85	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 3.85
2026-04-18T16:10:36	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=2.62	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 2.62
2026-04-18T16:10:37	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=4.38	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 4.38
2026-04-18T16:10:38	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=1.75	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 1.75
2026-04-18T16:10:39	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=5.25	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 5.25
2026-04-18T17:12:10	0.8575	49	6.88	2.3931	11.56		keep	baseline
2026-04-18T17:12:11	0.0000	0	0.00	0.0000	0.00	weight=0.14	discard_solo	[solo screen] weight: 0.15 → 0.14
2026-04-18T17:12:13	0.0000	0	0.00	0.0000	0.00	weight=0.17	discard_solo	[solo screen] weight: 0.15 → 0.17
2026-04-18T17:12:14	0.0000	0	0.00	0.0000	0.00	weight=0.11	discard_solo	[solo screen] weight: 0.15 → 0.11
2026-04-18T17:12:15	0.0000	0	0.00	0.0000	0.00	weight=0.19	discard_solo	[solo screen] weight: 0.15 → 0.19
2026-04-18T17:12:17	0.0000	0	0.00	0.0000	0.00	weight=0.22	discard_solo	[solo screen] weight: 0.15 → 0.22
2026-04-18T17:12:18	0.0000	0	0.00	0.0000	0.00	weight=0.07	discard_solo	[solo screen] weight: 0.15 → 0.07
2026-04-18T17:12:20	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=1.8	discard_solo	[solo screen] atr_stop_mult: 2.0 → 1.8
2026-04-18T17:12:21	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=2.2	discard_solo	[solo screen] atr_stop_mult: 2.0 → 2.2
2026-04-18T17:12:23	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=1.5	discard_solo	[solo screen] atr_stop_mult: 2.0 → 1.5
2026-04-18T17:12:24	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=2.5	discard_solo	[solo screen] atr_stop_mult: 2.0 → 2.5
2026-04-18T17:12:25	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=1.0	discard_solo	[solo screen] atr_stop_mult: 2.0 → 1.0
2026-04-18T17:12:27	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=3.0	discard_solo	[solo screen] atr_stop_mult: 2.0 → 3.0
2026-04-18T17:12:28	0.0000	0	0.00	0.0000	0.00	trailing_stop_atr_mult=2.7	discard_solo	[solo screen] trailing_stop_atr_mult: 3.0 → 2.7
2026-04-18T17:12:29	0.0000	0	0.00	0.0000	0.00	trailing_stop_atr_mult=3.3	discard_solo	[solo screen] trailing_stop_atr_mult: 3.0 → 3.3
2026-04-18T17:12:31	0.0000	0	0.00	0.0000	0.00	trailing_stop_atr_mult=2.25	discard_solo	[solo screen] trailing_stop_atr_mult: 3.0 → 2.25
2026-04-18T17:12:32	0.0000	0	0.00	0.0000	0.00	trailing_stop_atr_mult=3.75	discard_solo	[solo screen] trailing_stop_atr_mult: 3.0 → 3.75
2026-04-18T17:12:34	0.0000	0	0.00	0.0000	0.00	trailing_stop_atr_mult=1.5	discard_solo	[solo screen] trailing_stop_atr_mult: 3.0 → 1.5
2026-04-18T17:12:35	0.0000	0	0.00	0.0000	0.00	trailing_stop_atr_mult=4.5	discard_solo	[solo screen] trailing_stop_atr_mult: 3.0 → 4.5
2026-04-18T17:12:36	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=3.15	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 3.15
2026-04-18T17:12:38	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=3.85	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 3.85
2026-04-18T17:12:39	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=2.62	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 2.62
2026-04-18T17:12:41	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=4.38	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 4.38
2026-04-18T17:12:42	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=1.75	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 1.75
2026-04-18T17:12:43	0.0000	0	0.00	0.0000	0.00	profit_target_atr_mult=5.25	discard_solo	[solo screen] profit_target_atr_mult: 3.5 → 5.25
2026-04-18T18:12:11	0.8575	49	6.88	2.3931	11.56		keep	baseline
2026-04-18T18:12:12	0.0000	0	0.00	0.0000	0.00	weight=0.14	discard_solo	[solo screen] weight: 0.15 → 0.14
2026-04-18T18:12:14	0.0000	0	0.00	0.0000	0.00	weight=0.17	discard_solo	[solo screen] weight: 0.15 → 0.17
2026-04-18T18:12:16	0.0000	0	0.00	0.0000	0.00	weight=0.11	discard_solo	[solo screen] weight: 0.15 → 0.11
2026-04-18T18:12:17	0.0000	0	0.00	0.0000	0.00	weight=0.19	discard_solo	[solo screen] weight: 0.15 → 0.19
2026-04-18T18:12:18	0.0000	0	0.00	0.0000	0.00	weight=0.22	discard_solo	[solo screen] weight: 0.15 → 0.22
2026-04-18T18:12:20	0.0000	0	0.00	0.0000	0.00	weight=0.07	discard_solo	[solo screen] weight: 0.15 → 0.07
2026-04-18T18:12:22	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=1.8	discard_solo	[solo screen] atr_stop_mult: 2.0 → 1.8
2026-04-18T18:12:23	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=2.2	discard_solo	[solo screen] atr_stop_mult: 2.0 → 2.2
2026-04-18T18:12:25	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=1.5	discard_solo	[solo screen] atr_stop_mult: 2.0 → 1.5
2026-04-18T18:12:26	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=2.5	discard_solo	[solo screen] atr_stop_mult: 2.0 → 2.5
2026-04-18T18:12:28	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=1.0	discard_solo	[solo screen] atr_stop_mult: 2.0 → 1.0
2026-04-18T18:12:29	0.0000	0	0.00	0.0000	0.00	atr_stop_mult=3.0	discard_solo	[solo screen] atr_stop_mult: 2.0 → 3.0
